date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,518400003022,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110092,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,110010075022,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110093,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110021,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076110162,4
2019-01-07,sg:7cc0f8bf550343daace4e4c6475cab8f,511076118051,4
2019-01-07,sg:48afba75dfb34c6893aa7202f3747cfc,511210214002,6
2019-01-07,sg:48afba75dfb34c6893aa7202f3747cfc,511552106003,4
2019-01-07,sg:48afba75dfb34c6893aa7202f3747cfc,511910109002,4
2019-01-07,sg:3180dff84e164ed1bce01bc2071832e1,
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,511210204002,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,511210203002,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,540550012001,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,511610308022,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,511552102012,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,510670202003,4
2019-01-07,sg:f946d03be95144ffb067e9ed1a9dcb6f,511552107001,4
2019-01-07,sg:7bf0dbdffe5e40f684d0acc70612bea7,511552101001,4
2019-01-07,sg:9236441eef96498d973254a3a008f4d6,
2019-01-07,sg:b202fd82990c42c5912506817d0129e1,511210201002,4
2019-01-07,sg:b202fd82990c42c5912506817d0129e1,510594819002,4
2019-01-07,sg:b202fd82990c42c5912506817d0129e1,511539015082,4
2019-01-07,sg:5ec39fadef484fac90c3f6ad6331be98,517500102002,4
2019-01-07,sg:75b6b512deb74c2ca2ce5a19597e2ae3,511076102012,4
2019-01-07,sg:75b6b512deb74c2ca2ce5a19597e2ae3,511076105052,4
2019-01-07,sg:63a99c875734469591cd4b47f81c19bd,
2019-01-07,sg:49e6e01347334a0da8cd011782913af8,511210215003,4
2019-01-07,sg:86272b829e014462b83f3abad9df369f,511076102011,4
2019-01-07,sg:c4e380a8ccf8496b8e819701c532410f,
2019-01-07,sg:546914554ded41cf8cd1cdc11cea30ac,511210210002,5
2019-01-07,sg:546914554ded41cf8cd1cdc11cea30ac,511210215003,4
2019-01-07,sg:546914554ded41cf8cd1cdc11cea30ac,511210210001,4
2019-01-07,sg:d31d806194bc47cc9a0489aa402bff26,511210210001,4
2019-01-07,sg:d31d806194bc47cc9a0489aa402bff26,511210212004,4
2019-01-07,sg:d31d806194bc47cc9a0489aa402bff26,511210205004,4
2019-01-07,sg:a47aa1225932474faeb10f7e69bbea2e,510259302033,7
2019-01-07,sg:a47aa1225932474faeb10f7e69bbea2e,511552102013,4
2019-01-07,sg:a47aa1225932474faeb10f7e69bbea2e,511552101002,4
2019-01-07,sg:a47aa1225932474faeb10f7e69bbea2e,511552103002,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076110242,7
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076110061,5
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,110010075022,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076119003,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076112023,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076115021,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076110041,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,510430101006,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076105073,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,510619304031,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,510594912012,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,511076110203,4
2019-01-07,sg:8754b23c61b84add83913e2957ebf833,510690507001,4
2019-01-07,sg:d6886ba476ef4d728f1758f54ada3dd6,511610303003,4
2019-01-07,sg:d6886ba476ef4d728f1758f54ada3dd6,511210208001,4
2019-01-07,sg:d6886ba476ef4d728f1758f54ada3dd6,511610303001,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105044,13
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105052,11
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076101022,9
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106014,9
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105051,8
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105061,8
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105041,7
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105033,7
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105073,7
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076107032,6
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076107021,6
2019-01-07,sg:cad6300c521148c9908bf505a413444d,517600403001,6
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076115021,5
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106011,5
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076103003,5
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105042,5
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106031,5
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076103001,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076110052,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,510430103001,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,240037401023,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,540379725011,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105062,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076107033,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076102021,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076103002,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106013,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106042,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076101011,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076101021,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,540379725061,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,250173214001,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106041,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105031,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,518400003022,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076102022,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076103004,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076107031,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076106021,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511552104005,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,510131003003,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,240217753021,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,240217754002,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,240317025001,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076105043,4
2019-01-07,sg:cad6300c521148c9908bf505a413444d,511076104001,4
2019-01-07,sg:986e30e1402443ad80d272c364ecd639,511076105032,5
2019-01-07,sg:986e30e1402443ad80d272c364ecd639,511076101011,4
2019-01-07,sg:986e30e1402443ad80d272c364ecd639,511319301003,4
2019-01-07,sg:c7a76fa349e0402ca744ee32a78dbbd4,511210211003,4
2019-01-07,sg:c7a76fa349e0402ca744ee32a78dbbd4,510190306042,4
2019-01-07,sg:37da431082114ab58ddaa4d3b063a961,
2019-01-07,sg:bd430da2f6bb4301aee8120a9266ade0,511552101002,4
2019-01-07,sg:d2830aa191b448138d8e9761234a1e28,
2019-01-07,sg:4ec68a27ca124f5b89bac4204e9fbdd0,511210210001,4
2019-01-07,sg:d194ad4b52a346a1a2b98db18ad7890b,
2019-01-07,sg:1217b57edc924a588ffb17cc5c5559e2,
2019-01-07,sg:f2e60a1668b64b1a8bfb469d550458d6,511210215004,4
2019-01-07,sg:f2e60a1668b64b1a8bfb469d550458d6,511970503015,4
2019-01-07,sg:41f267ecafc441cb8c5203c6973d0525,511552101002,6
2019-01-07,sg:41f267ecafc441cb8c5203c6973d0525,511552106003,4
2019-01-07,sg:41f267ecafc441cb8c5203c6973d0525,510639201012,4
2019-01-07,sg:41f267ecafc441cb8c5203c6973d0525,511730302001,4
2019-01-07,sg:ca0ed2b759b74d16b4f6f83a1f4ab50f,511076105042,4
2019-01-07,sg:f7699f537a574c5ab5c5f7a17054097f,511210211004,6
2019-01-07,sg:f7699f537a574c5ab5c5f7a17054097f,510719304003,4
2019-01-07,sg:f7699f537a574c5ab5c5f7a17054097f,517500101013,4
2019-01-07,sg:f7699f537a574c5ab5c5f7a17054097f,511210212003,4
2019-01-07,sg:f7699f537a574c5ab5c5f7a17054097f,370970614022,4
2019-01-07,sg:174b7f7c03a64d4da887a319f88221fe,511076118011,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210215002,12
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210215003,12
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510639201013,11
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,517500102005,10
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210209003,9
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210210002,8
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210215004,7
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552101003,7
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210215001,7
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510639201011,7
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510719304001,7
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511970504024,6
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552105002,6
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511970501004,6
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510639202001,6
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,517500101012,6
